id_produk;nama_parfum;brand;harga_teks;size;concentrate;top_notes;middle_notes;base_notes;kategori;waktu;aktivitas;gender;deskripsi_wangi;foto_url;link_toko;harga;;;
120;Rosie De Marrie;The Body Tale;Rp258.000,00;50 ml;Extrait De Parfum;Mandarin, Lemon, Bergamot, Pear, Pink Pepper;Rose, Orange Blossom, Vetiver;Patchouli, Vanilla, Caramel, Amberwood;Floral / Gourmand;day;Kencan romantis (date night), menghadiri pesta, atau acara formal malam.;female;Awal spray: Segar dari jeruk mandarin, lemon, bergamot, buah pir, dan lada pink pedas. Lama-kelamaan: Berubah anggun menjadi wangi kelopak mawar mewah dan bunga jeruk. Akhir : Ditutup lezatnya karamel manis, vanila, patchouli, dan kayu ambar.;https://hglhouse.com/cdn/shop/files/Rosie_De_Marrie_30ml_-_The_Body_Tale_-_1.webp?v=1774857887&width=2048;https://shopee.co.id/thebodytale;258000;;;
121;Cherry Pop;The Body Tale;Rp258.000,00;50 ml;Extrait De Parfum;Bitter Almond;Rose, Cherry;Vanilla, sandal wood, tonka bean;Fruity / Gourmand;day;Hangout malam bareng teman, jalan-jalan ke mall, atau kencan kasual.;female;Awal spray: Unik dari pahit-manis kacang almond (bitter almond) yang pekat. Lama-kelamaan: Bertransisi menjadi wangi buah ceri merah matang berpadu kelopak mawar anggun. Akhir : Ditutup dengan manis lembut vanila, tonka bean, dan kayu cendana.;https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/351b8ca79aac4e53a41db329afa895f3~tplv-aphluv4xwc-resize-webp:800:800.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=e1be8f53&idc=my3&from=2378011839;https://shopee.co.id/thebodytale;258000;;;
122;Sip Me Litch;The Body Tale;Rp258.000,00;50 ml;Extrait De Parfum;lychee, apple;floral;sugar, amber;Fruity / Floral;day;Kumpul bareng sahabat, jalan-jalan santai, atau kencan siang hari.;female;Awal spray: Sangat manis, segar, dan genit dari buah kelengkeng (lychee) dan apel merah. Lama-kelamaan: Melembut menjadi keharuman buket bunga putih (floral) yang feminin. Akhir : Menyisakan aroma manis gula cair (sugar) dan ambar hangat yang adiktif.;https://down-id.img.susercontent.com/file/id-11134207-8224w-mhwiqk1lrapyb7;https://shopee.co.id/thebodytale;258000;;;
123;Spice Nomad;The Body Tale;Rp258.000,00;50 ml;Extrait De Parfum;Apple, Smoke, Cinnamon;Tobacco, Moss, Vetiver;Vanilla;Warm / Smoky;night;Acara formal malam hari, nongkrong di lounge, atau saat cuaca dingin/hujan.;male;Awal spray: Sensasi aroma asap (smoke) yang maskulin dipadu kayu manis dan apel hijau. Lama-kelamaan: Berubah menjadi aroma daun tembakau kering (tobacco), akar wangi, dan lumut. Akhir : Ditutup dengan kehangatan manis vanila lembut yang menyeimbangkan kepekatan asap.;https://down-id.img.susercontent.com/file/id-11134207-8224t-mhvto7om1xxi08;https://shopee.co.id/thebodytale;258000;;;
124;Summer Splash;The Body Tale;Rp258.000,00;50 ml;Extrait De Parfum;soda, bergamot;amber, woody;orange blossom;Fresh / Airy;day;Liburan musim panas, piknik siang hari, kasual kaus oblong, atau sehabis olahraga.;unisex;Awal spray: Sangat unik dan ceria karena tercium seperti kesegaran minuman soda berkarbonasi dan bergamot. Lama-kelamaan: Berubah menyejukkan menjadi aroma kayu-kayuan dan ambar hangat. Akhir : Meninggalkan sisa wangi bunga jeruk (orange blossom) yang bersih dan segar.;https://down-id.img.susercontent.com/file/id-11134207-82250-mhveejhly0i061;https://shopee.co.id/thebodytale;258000;;;
125;Hojicha Latte;The Body Tale;Rp258.000,00;50 ml;Extrait De Parfum;Hojicha tea;milk;tonka bean, brown sugar, musk;Gourmand / Creamy;day;Menemani waktu belajar/bekerja (wfh), membaca buku saat hujan, atau sebelum tidur.;unisex;Awal spray: Persis seperti aroma teh hojicha Jepang yang dipanggang (roasted tea) secara otentik. Lama-kelamaan: Berubah menjadi sangat gurih dan creamy berkat tuangan susu hangat (milk). Akhir : Ditutup manisnya gula jawa (brown sugar), tonka bean, dan musk menenangkan.;https://down-id.img.susercontent.com/file/id-11134207-82250-mhwiqk1lvifa6f;https://shopee.co.id/thebodytale;258000;;;
126;Portrait of Kyoto;The Body Tale;Rp228.000,00;50 ml;Extrait De Parfum;earl grey tea, apple, honey, mandarin;jasmine, black tea, fresia, irish;musk, pepper, sandalwood, amber;Tea / Floral;day;Pergi ke kafe estetik, ruang pameran seni, kerja kreatif, atau kuliah harian.;female;Awal spray: Wangi teh Earl Grey yang mewah berpadu apel hijau, madu manis, dan jeruk mandarin. Lama-kelamaan: Berubah menjadi aroma seduhan teh hitam, melati, freesia, dan akar iris. Akhir : Ditutup dengan kehangatan kayu cendana, ambar, lada, dan musk bersih.;https://down-id.img.susercontent.com/file/id-11134207-8224p-mhu9yyni1wco0a;https://shopee.co.id/thebodytale;228000;;;
127;Verona;The Body Tale;Rp258.000,00;50 ml;Extrait De Parfum;black currant, pink pepper;rose, geranium;patchouli, moss, vetiver, musk;Fruity / Floral;day;Menghadiri pernikahan semi-formal, kencan malam, atau kerja kantoran ruangan AC.;female;Awal spray: Manis asam menyegarkan dari buah blackcurrant hitam dan lada pink pedas. Lama-kelamaan: Menjelma menjadi buket bunga mawar merah dan tanaman geranium yang anggun. Akhir : Ditutup aroma patchouli bumi, lumut (moss), akar wangi, dan bedak musk.;https://s3.ap-southeast-1.amazonaws.com/assets.femaledaily.com/remastering-data/production/product/product-1708402588891-;https://shopee.co.id/thebodytale;258000;;;
128;Lady M;The Body Tale;Rp258.000,00;50 ml;Extrait De Parfum;balsamic;balsamic;vanilla, musk;Oriental / Warm;versatile;Menghadiri acara formal eksklusif, pesta malam, atau saat ingin tampil misterius.;female;Awal spray: Intens dan mewah dari keharuman getah balsam (balsamic) yang eksotis. Lama-kelamaan: Mempertahankan kehangatan aroma resin kayu kuno yang berwibawa dan mahal. Akhir : Menyisakan perpaduan manis vanila lembut dan kehangatan bedak musk yang intim.;https://down-id.img.susercontent.com/file/id-11134207-8224p-mjnk9ypq4kqr11;https://shopee.co.id/thebodytale;258000;;;
129;Kairy;The Body Tale;Rp228.000,00;50 ml;Extrait De Parfum;Bergamot, pink pepper;turkish rose, floral, coconut;vanilla, absolute tonka bean, cedarwood;Floral / Creamy;versatile;Kencan romantis (date night), makan malam santai mewah, atau acara semi-formal.;female;Awal spray: Segar pedas mewah dari perpaduan jeruk bergamot dan butiran lada pink. Lama-kelamaan: Berubah romantis seperti mawar Turki yang dicampur gurihnya buah kelapa. Akhir : Ditutup manisnya absolut tonka bean, vanila pekat, dan kekuatan kayu cedar.;https://s3.ap-southeast-1.amazonaws.com/assets.femaledaily.com/remastering-data/production/product/product-1708402023411-;https://shopee.co.id/thebodytale;228000;;;
130;Nectar of Nile;The Body Tale;Rp258.000,00;50 ml;Extrait De Parfum;Irish, Green Notes, Juniper Berries;Jasmine, Orrid, Root;Pink Pepper, Vetiver, Leather;Fresh / Earthy;day;Menghadiri pameran, pakaian formal/semi-formal rapi, atau aktivitas profesional.;unisex;Awal spray: Segar tumbuhan hijau dari akar iris, dedaunan, dan buah beri juniper yang sejuk. Lama-kelamaan: Berubah menjadi aroma bunga melati dipadu keanggunan akar orris bumi. Akhir : Ditutup dengan aroma jaket kulit (leather), lada pink, dan akar wangi (vetiver).;https://s3.ap-southeast-1.amazonaws.com/assets.femaledaily.com/remastering-data/production/product/product-1729763176412-04991ec2-e5a2-499a-ba7d-38ff6e4efb8b;https://shopee.co.id/thebodytale;258000;;;
131;Juliette;The Body Tale;Rp258.000,00;50 ml;Extrait De Parfum;cinnamon, cardamom, bergamot;jasmine, ylang ylang, sage;amber, woody, leather, labdanum;Warm / Spicy;versatile;Penggemar wangi rempah hangat, aktivitas malam, kencan, atau saat cuaca dingin.;female;Awal spray: Hangat rempah dari bubuk kayu manis, kapulaga, dan kesegaran bergamot. Lama-kelamaan: Melembut menjadi wangi bunga melati, ylang-ylang, dan ketenangan daun sage. Akhir : Ditutup aroma mewah jaket kulit (leather), getah labdanum, kayu, dan ambar.;https://down-id.img.susercontent.com/file/id-11134207-82250-mhu9yynhtgy00a;https://shopee.co.id/thebodytale;258000;;;
132;Diana;The Body Tale;Rp258.000,00;50 ml;Extrait De Parfum;strawberry;tuberose, jasmine;amber;Fruity / Floral;day;Jalan-jalan kasual sore hari, kumpul bareng teman, atau kencan siang hari.;female;Awal spray: Manis ceria dan sangat genit dari aroma buah stroberi merah ranum. Lama-kelamaan: Menjelma menjadi buket bunga sedap malam (tuberose) dan melati keraton yang anggun. Akhir : Meninggalkan sisa kehangatan ambar manis yang menempel awet di kulit.;https://down-id.img.susercontent.com/file/id-11134207-8224o-mhwiqk1lzq4m0d;https://shopee.co.id/thebodytale;258000;;;
133;Teamomile;The Body Tale;Rp228.000,00;50 ml;Extrait De Parfum;almond;chamomile, jasmine, musk;cedre, vanilla, bois de santal;Herbal / Floral;versatile;Dipakai bersantai setelah penat, membaca buku, meditasi, atau sebelum tidur malam.;female;Awal spray: Keunikan aroma kacang almond gurih yang menenangkan indra penciuman. Lama-kelamaan: Berubah menjadi aroma seduhan teh kamomil (chamomile), melati, dan musk yang super damai. Akhir : Ditutup kehangatan kayu cendana, vanila lembut, dan kayu cedar.;https://down-id.img.susercontent.com/file/id-11134207-8224r-mhveejhlv7d4f3;https://shopee.co.id/thebodytale;228000;;;
134;Plain Jane;The Body Tale;Rp228.000,00;50 ml;Extrait De Parfum;lemon, bergamot, tagetes, black currant;violet, irish, cyclamen, jasmine;vetiver, musk;Fresh / Floral;versatile;Kerja kantoran harian, kuliah, atau saat memakai pakaian kasual minimalis (kaos putih).;female;Awal spray: Segar menyengat dari lemon, bergamot, blackcurrant, dan bunga marigold. Lama-kelamaan: Berubah menjadi wangi bunga violet, iris, cyclamen, dan melati yang bersih. Akhir : Ditutup kebersihan aroma akar wangi (vetiver) dan bedak musk yang minimalis.;https://down-id.img.susercontent.com/file/id-11134207-8224q-mhveejhm0tmwb9;https://shopee.co.id/thebodytale;228000;;;
135;Flower Dome;The Body Tale;Rp228.000,00;50 ml;Extrait De Parfum;rose violet, blackberry;peomy, jasmine;musk, sandalwood, patchouli,;Floral / Fruity;versatile;Jalan-jalan sore di taman, menghadiri arisan, kencan kasual, atau kerja kantoran.;female;Awal spray: Aroma mawar violet yang dipadu manis asam buah blackberry liar. Lama-kelamaan: Berubah rimbun menyerupai wangi bunga peony dan melati putih di dalam rumah kaca. Akhir : Ditutup kelembutan kayu cendana, patchouli, dan bedak musk bersih.;https://s3.ap-southeast-1.amazonaws.com/assets.femaledaily.com/remastering-data/production/product/product-1704439651287-;https://shopee.co.id/thebodytale;228000;;;
136;Leviora;The Body Tale;Rp228.000,00;50 ml;Extrait De Parfum;lily, galbanium;lily, vanila;musk, sandalwood;Floral / Powdery;versatile;Setelah mandi sore, pakaian kasual santai, atau saat ingin merasa segar bersih.;female;Awal spray: Sangat bersih dan murni dari kelopak bunga lily dan getah galbanum hijau. Lama-kelamaan: Keharuman bunga lily menyatu indah dengan kelembutan manis vanila. Akhir : Ditutup dengan wangi kayu cendana lembut dan bedak musk bersih layaknya linen hotel mewah.;https://s3.ap-southeast-1.amazonaws.com/assets.femaledaily.com/remastering-data/production/product/product-1708406598579-;https://shopee.co.id/thebodytale;228000;;;
137;Humbling Forest;Kahf;Rp76.950,00;35;Eau De Toilette;Cypress, Rosemary, Grapefruit;Cedarwood, Guaiac Wood, Jasmine.;Sandalwood, Patchouli, Musk.;Fresh / Woody;versatile;Shalat/ibadah, kerja kantoran, kuliah harian, atau aktivitas luar ruangan pagi hari.;male;Awal spray: Segar menyejukkan dari tumbuhan cemara (cypress), rosemary, dan jeruk grapefruit. Lama-kelamaan: Berubah menjadi wangi kayu cedar, kayu guaiac, dan sentuhan kelopak melati maskulin. Akhir : Ditutup kehangatan kayu cendana, patchouli bumi, dan musk yang maskulin tenang.;https://www.kahfeveryday.com/_next/image/?url=https%3A%2F%2Fkahf-bucket-prod.s3.ap-southeast-3.amazonaws.com%2F1296%2FEDP-Humbling-Forest.png&w=3840&q=75;https://shopee.co.id/kahfofficial;76950;;;
138;Invigorating Waterfall;Kahf;Rp76.950,00;35;Eau De Toilette;Marine, Water, Lemon;Cedarwood, Floral, Violet;Dry Amber, Patchouli, Veliver, Musk;Fresh / Aquatic;versatile;Sehabis olahraga, cuaca panas ekstrem siang hari, atau aktivitas luar ruangan kasual.;male;Awal spray: Semburan udara air terjun dingin (marine) berpadu segarnya jeruk lemon. Lama-kelamaan: Melembut menjadi aroma kelopak bunga violet yang sejuk terkena percikan air. Akhir : Ditutup dengan ambar kering, patchouli, akar wangi, dan musk bersih yang super segar.;https://www.kahfeveryday.com/_next/image/?url=https%3A%2F%2Fkahf-bucket-prod.s3.ap-southeast-3.amazonaws.com%2F1292%2FEDP-Invigorating-Waterfall.png&w=3840&q=75;https://shopee.co.id/kahfofficial;76950;;;
139;Kahf Revered Oud;Kahf;Rp75.330,00;35;Eau De Toilette;Rose, lemon, fruity;Amber, gourmand;Vanilla, agarwood (oud), musk​;Gourmand / Woody;day;Acara formal malam hari, ibadah, kondangan, atau menghadiri undangan semi-formal.;male;Awal spray: Kemewahan mawar merah dipadu lemon segar dan aroma buah-buahan manis. Lama-kelamaan: Berubah menjadi aroma manis gurih (gourmand) yang dibalut ambar hangat. Akhir : Ditutup dengan kemewahan kayu gaharu (oud), vanila pekat, dan musk yang sensual.;https://images.soco.id/b4a91871-6e21-4e12-8713-10578d2e3e73-.jpg;https://shopee.co.id/kahfofficial;75330;;;
140;Kahf Saffron Oud;Kahf;Rp256.500,00;100 ml;Eau De Parfum;Mandarin, Saffron, Clove.;Rose, Leather, Oud.;Cedarwood, Patchouli, Sandalwood, Musk.;Spicy / Woody;versatile;Menghadiri acara formal, rapat penting, kencan malam hari, atau acara resmi keagamaan.;male;Awal spray: Mewah dari rempah saffron merah, jeruk mandarin, dan kehangatan cengkeh. Lama-kelamaan: Berubah misterius menjadi aroma mawar, jaket kulit (leather), dan kayu oud eksotis. Akhir : Ditutup kehangatan kayu cendana, cedarwood, patchouli bumi, dan musk.;https://www.kahfeveryday.com/_next/image/?url=https%3A%2F%2Fkahf-bucket-prod.s3.ap-southeast-3.amazonaws.com%2F708%2FEDP-Saffron.png&w=3840&q=75;https://shopee.co.id/kahfofficial;256500;;;
141;True Brotherhood;Kahf;Rp76.950,00;35;Eau De Toilette;Cinnamon, Orange, Lemon.;Tobacco, Cypress, Lavender.;Tonka Beans, Cedarwood, Incense.;Warm / Spicy;day;Kumpul bareng teman (boys night out), kencan kasual, atau berkendara motor malam hari.;male;Awal spray: Kehangatan bubuk kayu manis, buah jeruk orange, dan lemon yang bersemangat. Lama-kelamaan: Berubah menjadi aroma daun tembakau kering (tobacco), cemara, dan lavender pria. Akhir : Ditutup kemewahan kepulan kemenyan (incense), tonka bean manis, dan kayu cedar.;https://image.femaledaily.com/dyn/144/images/prod-pics/product_1661334497_EDT_TB_Fro_800x800.jpg;https://shopee.co.id/kahfofficial;76950;;;
142;Galleria;Alchemist Fragrance;Rp199.000,00;30 ml;Eau De Parfum;Cape Jasmine, Plum;Tuberose, Oiellet;Honey, Redwood;Floral / Heavy;versatile;Menghadiri galeri seni, pesta malam formal, kencan romantis, atau acara formal.;female;Awal spray: Anggun dan merekah dari bunga melati cina (cape jasmine) dipadu manisnya buah plum. Lama-kelamaan: Menjelma menjadi wangi bunga sedap malam (tuberose) dan oiellet yang intens. Akhir : Ditutup dengan sisa manis madu hutan asli (honey) dan kehangatan kayu redwood mewah.;https://cnfstore.com/pub/media/catalog/product/cache/a00154ee38634630308870ba25db0e77/c/f/cf018151.jpg;https://shopee.co.id/alchemist.fragrance;199000;;;
143;Pink Laundry;Alchemist Fragrance;Rp199.000,00;30 ml;Eau De Parfum;Clean Aldehydes, Chamomile, Green Notes;Jasmine, Lily of the Valley, Rose;Musky Notes, Patchouli, Sandalwood, Powdery Notes;Powdery / Clean;day;Kerja kantoran kemeja rapi, parfum harian setelah mandi, atau kuliah harian.;female;Awal spray: Wangi baju bersih sehabis disetrika (clean aldehydes), kamomil, dan catatan hijau. Lama-kelamaan: Berubah melembut menjadi wangi bunga melati, lily of the valley, dan mawar putih. Akhir : Bertahan lama sebagai aroma bedak bayi (powdery notes), kayu cendana, dan musk bersih.;https://parfumnesia.com/_next/image?url=https%3A%2F%2Fcdn.prod.website-files.com%2F645b7f120a807b6569d723bd%2F6708c41e1e19cd38c742cab8_Alchemist-bois-et-musc.png&w=1080&q=75;https://shopee.co.id/alchemist.fragrance;199000;;;
144;Bois et Musc;Alchemist Fragrance;Rp529.000,00;50 ml;Eau De Parfum;Black Pepper;Muguet, Cashmeran;Patchouli, Musk, Moss;Woody / Fresh;night;Bekerja profesional di kantor, meeting penting, atau saat memakai pakaian formal.;unisex;Awal spray: Semburan hangat nan tegas dari butiran rempah lada hitam (black pepper). Lama-kelamaan: Melembut menjadi aroma bunga lily gunung (muguet) dan kelembutan kain cashmeran. Akhir : Ditutup aroma patchouli bumi, lumut pohon (moss), dan kepekatan musk maskulin yang rapi.;https://cdn.prod.website-files.com/645b7f120a807b6569d723bd/6708c41e1e19cd38c742cab8_Alchemist-bois-et-musc.png;https://shopee.co.id/alchemist.fragrance;529000;;;
145;Cachemire;Alchemist Fragrance;Rp529.000,00;50 ml;Eau De Parfum;Cinnamon Bark Oil, Pepper Pink CO2, Apple;Rose Accord, Violet Notes, Ambrette ABS;Cedarwood Heart, Virgina, Musk;Warm / Floral;night;Pakaian semi-formal, kencan sore hari, atau saat cuaca dingin/ber-AC.;unisex;Awal spray: Perpaduan minyak kulit kayu manis hangat, lada pink, dan kesegaran apel hijau renyah. Lama-kelamaan: Berubah menjadi aroma mawar mewah, violet, dan kelembutan ambrette yang halus. Akhir : Ditutup dengan kehangatan inti kayu cedarwood Virginia dan bedak musk bersih.;https://cdn.prod.website-files.com/645b7f120a807b6569d723bd/6708c1a6aff533c201da6a56_Alchemist-cachemire.png;https://shopee.co.id/alchemist.fragrance;529000;;;
146;Musc Laiteux;Alchemist Fragrance;Rp529.000,00;50 ml;Eau De Parfum;Pink Pepper, Orange Flower;Orris Crete, Transparent Floral, Riz Au Lait Accord;Ambrette ABS, Patchouli Oil;Creamy / Clean;night;Dipakai santai di rumah, sehabis mandi sore, sebelum tidur, atau jalan-jalan santai.;unisex;Awal spray: Segar dari perpaduan butiran lada pink hangat dan kebersihan bunga jeruk. Lama-kelamaan: Sangat unik karena berubah menjadi aroma bubur susu beras (riz au lait) dan akar orris. Akhir : Ditutup kelembutan alami minyak ambrette dan patchouli yang menyatu indah di kulit.;https://cdn.prod.website-files.com/645b7f120a807b6569d723bd/6708c1bce3ba1983d1c03e49_Alchemist-musc-laiteux.png;https://shopee.co.id/alchemist.fragrance;529000;;;
147;Musc Vanille;Alchemist Fragrance;Rp529.000,00;50 ml;Eau De Parfum;Pink Pepper, Black Pepper;White Floral Bouquet, Coconut Accord;Musk, White Woods, Vanilla;Gourmand / Woody;night;Date night, hangout malam di kafe, atau bagi pencinta wangi vanila kelapa yang mewah.;unisex;Awal spray: Perpaduan pedas hangat dari lada pink dan kepekatan rempah lada hitam. Lama-kelamaan: Berubah menjadi aroma gurih kelapa muda (coconut accord) dan buket bunga putih. Akhir : Ditutup dengan manisnya vanilla pekat, serat kayu putih, dan bedak musk yang manis.;https://parfumnesia.com/_next/image?url=https%3A%2F%2Fcdn.prod.website-files.com%2F645b7f120a807b6569d723bd%2F6708c31fd682117fd6a80e2f_Alchemist-musc-vanille.png&w=3840&q=75;https://shopee.co.id/alchemist.fragrance;529000;;;
148;Onirique;Alchemist Fragrance;Rp449.000,00;50 ml;Extrait De Parfum;Pear, Orange, Clary Sage;Tuberose, Orange Blossom, Jasmine;Vanilla, Cedarwood, Satin Musks;Floral / Fruity;versatile;Menghadiri pesta pernikahan, kencan romantis siang/malam, atau acara formal.;unisex;Awal spray: Manis segar dari buah pir matang, jeruk orange manis, dan ketenangan daun clary sage. Lama-kelamaan: Menjelma menjadi buket bunga putih mewah dari sedap malam, melati, dan bunga jeruk. Akhir : Ditutup manisnya vanilla lembut, kayu cedarwood, dan kelembutan satin musk.;https://uploads-ssl.webflow.com/645b7f120a807b6569d723bd/6664455acbd45857553b76f0_Alchemist-Onirique.png;https://shopee.co.id/alchemist.fragrance;449000;;;
149;Out West;Alchemist Fragrance;Rp339.000,00;50 ml;Extrait De Parfum;Yuzu, Bergamot, Green Apple;Cedarwood, Rose, Plum;Musk, Patchouli, Vetiver;Fresh / Woody;day;Beraktivitas outdoor siang hari, berolahraga, pakaian kasual kaos-jeans, atau kuliah.;unisex;Awal spray: Super segar dari jeruk yuzu Jepang, bergamot, dan kerenyahan buah apel hijau. Lama-kelamaan: Berubah menyeimbangkan rasa segar dengan kayu cedarwood, mawar, dan buah plum manis. Akhir : Ditutup dengan ketenangan akar wangi (vetiver), patchouli bumi, dan musk bersih.;https://s3.ap-southeast-1.amazonaws.com/assets.femaledaily.com/remastering-data/production/product/product-1703772616767-Alchemist-Fragrance-Out-West-Extrait-De-Parfum;https://shopee.co.id/alchemist.fragrance;339000;;;
150;Home Garden;Alchemist Fragrance;Rp199.000,00;50 ml;Eau De Parfum;Blackberry, Grapefruit, Clove;Cedar, Vetiver;Floral Notes;Fruity / Fresh;day;Bersantai di akhir pekan, berkebun, pakaian kasual rumah, atau kumpul keluarga.;unisex;Awal spray: Segar alami dari buah blackberry liar, jeruk grapefruit pahit-manis, dan cengkeh hangat. Lama-kelamaan: Berubah menenangkan menyerupai aroma kayu cedarwood dan akar wangi (vetiver). Akhir : Ditutup dengan sisa keharuman buket bunga (floral notes) yang asri layaknya kebun rumah.;https://uploads-ssl.webflow.com/645b7f120a807b6569d723bd/64b5693cb91e0294759c89b6_Alchemist_Fragrance_home%20garden.webp;https://shopee.co.id/alchemist.fragrance;199000;;;
151;Got My Mojo Back;Alchemist Fragrance;Rp199.000,00;50 ml;Eau De Parfum;Bergamot, Saffron;Rose, Jasmine;Sandalwood, Amber, Musk, Patchouli;Warm / Amber;night;Acara malam formal, pesta, kencan spesial, atau saat ingin tampil penuh percaya diri.;unisex;Awal spray: Mewah dari kesegaran jeruk bergamot yang dipadu rempah saffron merah yang mahal. Lama-kelamaan: Berubah romantis menjadi keharuman buket bunga mawar merah dan melati malam. Akhir : Ditutup dengan kemewahan kayu cendana, ambar hangat, patchouli, dan bedak musk.;https://uploads-ssl.webflow.com/645b7f120a807b6569d723bd/64b56ad62e6b22c972e64f1f_Alchemist_Fragrance_got%20my%20mojo%20back.webp;https://shopee.co.id/alchemist.fragrance;199000;;;
152;Weekend;Filosophia;Rp150.000,00;50 ml;Eau De Parfum;lime, apple;red lily, lavender, ginger;vanilla;Fruity / Fresh;versatile;Jalan-jalan di akhir pekan, liburan kasual, kumpul santai bareng teman, atau kuliah harian.;unisex;Awal spray: Ledakan kesegaran dari jeruk nipis (lime) hijau dan kerenyahan buah apel hijau. Lama-kelamaan: Berubah unik menjadi keharuman bunga lily merah, lavender, dan kehangatan jahe pedas. Akhir : Ditutup dengan manis lembut dari vanila yang menenangkan di kulit.;https://down-id.img.susercontent.com/file/829a3e86986c1615975774719f1442fb.webp;https://shopee.co.id/filosophia.perfumery;150000;;;
153;Fly Me To The Moon;Filosophia;Rp400.000,00;100 ml;Extrait De Parfum;Orange, Bergamot;Saffron, White Floral, Rum, Seasalt, Nutmeg;Warm Leather Accord, Black Amber, Cedarwood, Patchouli, Vetiver;Amber / Complex;night;Night hangout, acara komunitas kreatif, menonton konser, atau pakaian estetik.;male;Awal spray: Segar dari jeruk orange dan bergamot berpadu rempah saffron serta tuangan minuman rum. Lama-kelamaan: Muncul rasa asin laut (seasalt), bunga putih, dan parutan biji pala hangat. Akhir : Ditutup aroma jaket kulit (leather), ambar hitam, kayu cedar, patchouli, dan akar wangi.;https://down-id.img.susercontent.com/file/id-11134207-7rasg-m2ckbba8301lb5.webp;https://shopee.co.id/filosophia.perfumery;400000;;;
154;Bella Luna;Filosophia;Rp150.000,00;50 ml;Extrait De Parfum;Fresh Berries, Plum, Green Apple;Jasmine, Orchid, Lily;Caramel, Vanilla;Gourmand / Fruity;day;Kencan malam hari (date night), jalan-jalan sore ke mall, atau pencinta wangi manis buah karamel.;female;Awal spray: Manis juicy dari perpaduan buah beri segar, buah plum madu, dan apel hijau renyah. Lama-kelamaan: Berubah manis feminin menjadi aroma bunga melati, anggrek, dan lily gunung. Akhir : Ditutup dengan lelehan karamel cair gurih dan manisnya vanila pekat yang tahan lama.;https://down-id.img.susercontent.com/file/id-11134207-7qul1-lhizo2b38cjj58.webp;https://shopee.co.id/filosophia.perfumery;150000;;;
155;Party Anthem Royale;Filosophia;Rp375.000,00;100 ml;Extrait De Parfum;Lavender, Lemon;Violet, Cypress, Ambroxan;Oud, Coffee, Tonka Bean, Deer Musk;Oriental / Dark;night;Pesta formal malam hari, acara klub malam (clubbing), atau acara eksklusif berkelas.;male;Awal spray: Keharuman daun lavender menenangkan dipadu kesegaran perasan jeruk lemon segar. Lama-kelamaan: Berubah menjadi aroma bunga violet, kayu cemara, dan ambar modern (ambroxan). Akhir : Ditutup sangat mewah oleh kayu gaharu (oud), kopi hitam pekat, tonka bean, dan deer musk seksi.;https://down-id.img.susercontent.com/file/id-11134207-7rasa-m3lysxbbfh047a.webp;https://shopee.co.id/filosophia.perfumery;375000;;;
156;Party Anthem;Filosophia;Rp225.000,00;100 ml;Extrait De Parfum;passion fruit, bergamot;cocktails, mint, pear;lavender, leather;Fresh / Fruity;versatile;Menghadiri pesta kasual malam, nonton gig musik, nongkrong bareng teman, atau kencan.;unisex;Awal spray: Ceria dan eksotik dari buah markisa (passion fruit) dan kesegaran jeruk bergamot. Lama-kelamaan: Berubah segar seperti aroma minuman koktail buah, daun mint dingin, dan pir hijau berair. Akhir : Ditutup dengan ketenangan aroma bunga lavender pria dan sentuhan jaket kulit (leather).;https://down-id.img.susercontent.com/file/id-11134207-7rasm-m3rzqa0zw5qn7c.webp;https://shopee.co.id/filosophia.perfumery;225000;;;
157;Bed of Roses;Filosophia;Rp225.000,00;100 ml;Extrait De Parfum;bergamot, pomelo;rose, magnolia, violet;cedar, musk;Floral / Fresh;day;Menghadiri pernikahan, kencan romantis siang hari, kumpul keluarga, atau kerja kantoran.;female;Awal spray: Sangat segar dari perasan jeruk bergamot dan jeruk bali besar (pomelo). Lama-kelamaan: Menjelma menjadi hamparan kelopak bunga mawar, magnolia, dan violet yang super romantis. Akhir : Ditutup dengan kehangatan kayu cedarwood yang bersih dan kelembutan bedak musk.;https://down-id.img.susercontent.com/file/id-11134207-7rasj-m3rz83ea0s7wb1.webp;https://shopee.co.id/filosophia.perfumery;225000;;;
158;Party Anthem Weirdo;Filosophia;Rp225.000,00;100 ml;Extrait De Parfum;tobacco, clove;roasted marshmallow, almond;vanilla;Gourmand / Smokey;night;Nongkrong malam hari, cuaca dingin/hujan, pencinta parfum unik pemancing perhatian.;unisex;Awal spray: Aroma unik dari daun tembakau kering (tobacco) dipadu hangatnya cengkeh rempah. Lama-kelamaan: Sangat lezat karena berubah menjadi aroma marshmallow panggang (roasted marshmallow) dan almond. Akhir : Ditutup dengan manisnya ekstrak vanila pekat yang sangat nyaman dan hangat.;https://down-id.img.susercontent.com/file/id-11134207-7ras9-m3rz83ea7t241b.webp;https://shopee.co.id/filosophia.perfumery;225000;;;
